Merk,Model,Harga,Tahun Produksi,Jarak Tempuh,Jenis,Transmisi,Kondisi Motor,Mesin,Klaster
Honda,Beat CBS Grey,18500000,2024,25600,Skuter,Automatic,"Pemakaian pribadi, kilometer masih rendah, mesin bagus, idling normal minus sedikit lecet body pemakaian",110,0
Honda,Beat Deluxe Grey,18000000,2023,38000,Skuter,Automatic,"Kondisi mesin bagus, sperapart bagus, smart key sistem masih berfungsi, minus sedikit lecet body pemakaian",110,0
Honda,All New PCX,25000000,2021,28000,Skuter,Automatic,"Kondisi mesin masih bagus, minus sedikit lecet body pemakaian dan ban kurang tebal tapi masih full orisinil",160,0
Honda,Scoopy sporty RB,16000000,2022,25000,Skuter,Automatic,"Kondisi mesin masih bagus, idling normal, minus sedikit lecet body pemakaian",110,0
Yamaha,N-Max,18000000,2018,15000,Skuter,Automatic,"Kondisi mesin bagus, kilometer rendah, minus body besar jadi kurang gesit dan BBM boros",155,1
Yamaha,R-15 V4,24000000,2022,6000,Sport,Kopling,"Kondisi mesin masih bagus, kilometer rendah, body bagus, full orisinil, motor rawatan jarang digunakan",155,2
Honda,Beat FI,8500000,2015,66000,Skuter,Automatic,"Kondisi mesin masih bagus, ban juga masih bagus minus body sedikit pudar dan lecet pemakaian",110,0
Honda,Scoopy sporty Cream,15000000,2022,35000,Skuter,Automatic,"Kondisi mesin masih bagus, ban depan dan belakang bagus baru di ganti, kilometer rendah, kelisitrikan baik, idling normal",110,0
Honda,Vario 125,10000000,2014,42000,Skuter,Automatic,"Kondisi mesin bagus, full orisinil,body mulus, BBM irit, kelistrikan baik",125,0
Honda,PCX ABS White,30000000,2023,39000,Skuter,Automatic,"Kondisi mesin bagus, kilometer rendah, body besar kurang gesit, BBM irit",160,0
Yamaha,Fazio,15000000,2022,5000,Skuter,Automatic,"Kondisi mesin bagus, kelistrikan aman, full orisinil ,oli baru, tires condition 100%, idling normal",125,1
Yamaha,R-15 V3,23000000,2018,3000,Sport,Kopling,"Kondisi mesin bagus,tires condition 80%, motor perawatan jarang digunakan, body mulus, ODO 10.XXX Stop going",155,2
Honda,CB 150X,21000000,2022,26000,Sport,Kopling,"Ban depan, belakang bagus, kondisi mesin bagus, full orisinil, body mulus",150,3
Honda,Scoopy stylish,14500000,2020,45000,Skuter,Automatic,"kondisi mesin bagus, kelistrikan baik, full orisinil, BBM irit, idling normal, ban depan dan belakang masih bagus",110,0
Honda,Beat Deluxe Navy,17500000,2024,28000,Skuter,Automatic,"kondisi mesin bagus, tires 90% condition, BBM irit, oli baru, fitur smart key sistem masih berfungsi",110,0
Honda,Adv Abs,24000000,2021,36000,Skuter,Automatic,"kondisi mesin bagus, oli baru, tires condition 94%, kelistrikan baik, ban depan belakang masih bagus, minus sedikit lecet pemakaian pribadi",150,0
Honda,Vario 125 Merah,16000000,2020,49000,Skuter,Automatic,"kondisi mesin bagus, oli baru, full orisinil, ban 99%,idling normal, kelistrikan baik, kilometer masih rendah",125,0
Honda,Beat CBS White,13000000,2021,38000,Skuter,Automatic,"kondisi mesin bagus, tires condition 90%, BBM irit,oli baru, full orisinil, idling stop sistem masih berfungsi",110,0
Honda,Vario 110 ESP,8000000,2016,52000,Skuter,Automatic,"kondisi mesin bagus, tires condition 80%, kelistrikan baik, full orisinil, ban depan belakang masih bagus",110,0
